1597140895207,1,Intensivity,200,OK,sendComment 2-1,text,true,,390,0,1,2,null,0,0,0
1597140895207,0,Debug Sampler,200,OK,RandomValues 1-1,text,true,,389,0,1,2,null,0,0,0
1597140895222,5,Open_Site,200,,sendComment 2-1,text,true,,22653,356,1,1,http://localhost:8080/,5,0,1
1597140895231,6,Open_Clients,200,,sendComment 2-1,text,true,,6135,415,1,1,http://localhost:8080/clients.html,6,0,0
1597140895238,104,Guest_Book,200,,sendComment 2-1,text,true,,59285,319,1,1,http://localhost:8080/service/guestbook,104,0,0
1597140895343,1,Guest_Book-192,200,,sendComment 2-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,1,0,0
1597140895345,2,Send_Comment-199,200,,sendComment 2-1,text,true,,274,533,1,1,http://localhost:8080/service/guestbook,2,0,0
1597140895347,84,Send_Comment-200,200,,sendComment 2-1,text,true,,59329,319,1,1,http://localhost:8080/service/guestbook,84,0,0
1597140895431,76,CheckComment,200,,sendComment 2-1,text,true,,59329,136,1,1,http://localhost:8080/service/guestbook,76,0,0
1597140895507,13,JDBC Request,200,OK,sendComment 2-1,text,true,,69100,0,1,1,null,10,0,9
1597140895207,292,Transaction Controller,200,"Number of samples in transaction : 9, number of failing samples : 0",sendComment 2-1,,true,,280607,2481,1,1,null,288,21,10
1597140895521,0,Intensivity,200,OK,sendComment 2-1,text,true,,491,0,1,1,null,0,0,0
1597140895521,2,Open_Site,200,,sendComment 2-1,text,true,,22653,356,1,1,http://localhost:8080/,2,0,0
1597140895523,1,Open_Clients,200,,sendComment 2-1,text,true,,6135,415,1,1,http://localhost:8080/clients.html,1,0,0
1597140895525,74,Guest_Book,200,,sendComment 2-1,text,true,,59329,319,1,1,http://localhost:8080/service/guestbook,74,0,0
1597140895599,3,Guest_Book-192,200,,sendComment 2-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,3,0,0
1597140895602,2,Send_Comment-199,200,,sendComment 2-1,text,true,,274,549,1,1,http://localhost:8080/service/guestbook,2,0,0
1597140895604,37,Send_Comment-200,200,,sendComment 2-1,text,true,,59378,319,1,1,http://localhost:8080/service/guestbook,36,0,0
1597140895641,22,CheckComment,200,,sendComment 2-1,text,true,,59378,136,1,1,http://localhost:8080/service/guestbook,22,0,0
1597140895663,15,JDBC Request,200,OK,sendComment 2-1,text,true,,69160,0,1,1,null,1,0,0
